# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	4531	5199	+	WP_010667337.1	WP_010667337.1		hypothetical protein			A39U_RS0100040	669	222	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	5248	5508	+							A39U_RS0100045	261		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	5248	5508	+	WP_007284654.1	WP_007284654.1		hypothetical protein			A39U_RS0100045	261	86	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	5820	6239	-							A39U_RS0100055	420		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	5820	6239	-	WP_007284653.1	WP_007284653.1		hypothetical protein			A39U_RS0100055	420	139	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	6232	6474	-							A39U_RS0100060	243		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	6232	6474	-	WP_007284652.1	WP_007284652.1		type II toxin-antitoxin system Phd/YefM family antitoxin			A39U_RS0100060	243	80	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	6685	7149	-							A39U_RS0100065	465		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	6685	7149	-	WP_010667336.1	WP_010667336.1		hypothetical protein			A39U_RS0100065	465	154	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	7251	7616	-							A39U_RS0100070	366		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	7251	7616	-	WP_010667335.1	WP_010667335.1		hypothetical protein			A39U_RS0100070	366	121	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	7571	9457	-							A39U_RS0100075	1887		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	7571	9457	-	WP_010667334.1	WP_010667334.1		ParB/RepB/Spo0J family partition protein			A39U_RS0100075	1887	628	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	9887	11086	-							A39U_RS0100080	1200		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	9887	11086	-	WP_164466545.1	WP_164466545.1		IS701 family transposase			A39U_RS0100080	1200	399	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	11209	11478	+							A39U_RS0100085	270		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	11209	11478	+	WP_018307575.1	WP_018307575.1		hypothetical protein			A39U_RS0100085	270	89	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	11562	12212	+							A39U_RS0100090	651		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	11562	12212	+	WP_010666725.1	WP_010666725.1		hypothetical protein			A39U_RS0100090	651	216	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	12477	13436	+							A39U_RS0100095	960		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	12477	13436	+	WP_014095397.1	WP_014095397.1		Abi family protein			A39U_RS0100095	960	319	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	13487	13807	+							A39U_RS0100100	321		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	13487	13807	+	WP_026199889.1	WP_026199889.1		WGR domain-containing protein			A39U_RS0100100	321	106	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	14125	15111	+							A39U_RS0100105	987		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	14125	15111	+	WP_018307576.1	WP_018307576.1		hypothetical protein			A39U_RS0100105	987	328	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	15356	16261	+							A39U_RS0100115	906		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	15356	16261	+	WP_007284615.1	WP_007284615.1		replication protein RepA			A39U_RS0100115	906	301	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	17619	18188	+							A39U_RS0100125	570		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	17619	18188	+	WP_007284612.1	WP_007284612.1		recombinase family protein			A39U_RS0100125	570	189	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	18687	19049	+							A39U_RS0100130	363		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	18687	19049	+	WP_010665813.1	WP_010665813.1		hypothetical protein			A39U_RS0100130	363	120	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	19108	19818	+							A39U_RS17755	711		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	19108	19818	+	WP_050796931.1	WP_050796931.1		lytic transglycosylase domain-containing protein			A39U_RS17755	711	236	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	19822	20145	+							A39U_RS0100140	324		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	19822	20145	+	WP_007284448.1	WP_007284448.1		TrbC/VirB2 family protein			A39U_RS0100140	324	107	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	20149	20472	+							A39U_RS0100145	324		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	20149	20472	+	WP_010665815.1	WP_010665815.1		type IV secretion system protein VirB3			A39U_RS0100145	324	107	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	20472	22844	+							A39U_RS0100150	2373		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	20472	22844	+	WP_007284447.1	WP_007284447.1		VirB4 family type IV secretion/conjugal transfer ATPase			A39U_RS0100150	2373	790	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	22861	23547	+							A39U_RS0100155	687		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	22861	23547	+	WP_007284446.1	WP_007284446.1		transporter			A39U_RS0100155	687	228	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	23559	23954	+							A39U_RS0100160	396		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	23559	23954	+	WP_010665816.1	WP_010665816.1		EexN family lipoprotein			A39U_RS0100160	396	131	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	23999	24919	+							A39U_RS0100165	921		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	23999	24919	+	WP_010665817.1	WP_010665817.1		type IV secretion system protein			A39U_RS0100165	921	306	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	24958	25128	+							A39U_RS19790	171		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	24958	25128	+	WP_158306040.1	WP_158306040.1		type IV secretion system lipoprotein VirB7			A39U_RS19790	171	56	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	25125	25814	+							A39U_RS0100170	690		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	25125	25814	+	WP_010665818.1	WP_010665818.1		type IV secretion system protein VirB8			A39U_RS0100170	690	229	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	25811	26731	+							A39U_RS0100175	921		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	25811	26731	+	WP_007284442.1	WP_007284442.1		TrbG/VirB9 family P-type conjugative transfer protein			A39U_RS0100175	921	306	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	26728	27861	+					virB10		A39U_RS0100180	1134		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	26728	27861	+	WP_010665819.1	WP_010665819.1		type IV secretion system protein VirB10	virB10		A39U_RS0100180	1134	377	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	27851	28891	+					virB11		A39U_RS0100185	1041		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	27851	28891	+	WP_007284440.1	WP_007284440.1		P-type DNA transfer ATPase VirB11	virB11		A39U_RS0100185	1041	346	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	28905	30725	+							A39U_RS0100190	1821		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	28905	30725	+	WP_007284439.1	WP_007284439.1		type IV secretory system conjugative DNA transfer family protein			A39U_RS0100190	1821	606	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	30746	30952	+							A39U_RS0100195	207		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	30746	30952	+	WP_007284438.1	WP_007284438.1		hypothetical protein			A39U_RS0100195	207	68	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	30966	31544	+							A39U_RS0100200	579		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	30966	31544	+	WP_010665820.1	WP_010665820.1		GIY-YIG nuclease family protein			A39U_RS0100200	579	192	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	31725	32078	+							A39U_RS0100205	354		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	31725	32078	+	WP_007284436.1	WP_007284436.1		metalloregulator ArsR/SmtB family transcription factor			A39U_RS0100205	354	117	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	32075	32497	+					arsC		A39U_RS0100210	423		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	32075	32497	+	WP_018307578.1	WP_018307578.1		arsenate reductase (glutaredoxin)	arsC		A39U_RS0100210	423	140	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	32494	33792	+							A39U_RS0100215	1299		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	32494	33792	+	WP_186810587.1	WP_186810587.1		arsenic transporter			A39U_RS0100215	1299	432	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	33814	34512	+					arsH		A39U_RS0100220	699		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	33814	34512	+	WP_007284433.1	WP_007284433.1		arsenical resistance protein ArsH	arsH		A39U_RS0100220	699	232	
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	34726	34932	-							A39U_RS18765	207		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	34726	34932	-				MerR family DNA-binding protein			A39U_RS18765	207		partial;pseudo
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	34996	35211	+							A39U_RS0100225	216		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	34996	35211	+				transposase			A39U_RS0100225	216		partial;pseudo
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	35343	36665	-							A39U_RS0100230	1323		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	35343	36665	-	WP_018307580.1	WP_018307580.1		PLP-dependent aminotransferase family protein			A39U_RS0100230	1323	440	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	36752	37372	+							A39U_RS0100235	621		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	36752	37372	+	WP_018307581.1	WP_018307581.1		DJ-1/PfpI family protein			A39U_RS0100235	621	206	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	37461	38087	-							A39U_RS0100240	627		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	37461	38087	-	WP_010667355.1	WP_010667355.1		recombinase family protein			A39U_RS0100240	627	208	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	38217	41186	+							A39U_RS0100245	2970		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	38217	41186	+	WP_010667356.1	WP_010667356.1		Tn3 family transposase			A39U_RS0100245	2970	989	
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	41218	41832	+							A39U_RS17760	615		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	41218	41832	+				IS5-like element IS12528 family transposase			A39U_RS17760	615		partial;pseudo
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	41849	43288	-							A39U_RS0100255	1440		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	41849	43288	-	WP_010666892.1	WP_010666892.1		SulP family inorganic anion transporter			A39U_RS0100255	1440	479	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	43394	44218	-							A39U_RS0100260	825		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	43394	44218	-	WP_081617470.1	WP_081617470.1		IS5 family transposase			A39U_RS0100260	825	274	
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	44254	44475	-							A39U_RS18775	222		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	44254	44475	-				MerR family transcriptional regulator			A39U_RS18775	222		partial;pseudo
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	44549	45199	+							A39U_RS0100265	651		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	44549	45199	+	WP_007284432.1	WP_007284432.1		cation transporter			A39U_RS0100265	651	216	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	45192	46634	+							A39U_RS0100270	1443		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	45192	46634	+	WP_026199890.1	WP_026199890.1		TolC family protein			A39U_RS0100270	1443	480	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	46631	47665	+							A39U_RS0100275	1035		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	46631	47665	+	WP_010665962.1	WP_010665962.1		efflux RND transporter periplasmic adaptor subunit			A39U_RS0100275	1035	344	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	47665	50799	+							A39U_RS0100280	3135		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	47665	50799	+	WP_010665963.1	WP_010665963.1		efflux RND transporter permease subunit			A39U_RS0100280	3135	1044	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	50911	54573	-							A39U_RS0100285	3663		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	50911	54573	-	WP_010665964.1	WP_010665964.1		relaxase domain-containing protein			A39U_RS0100285	3663	1220	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	54573	54893	-							A39U_RS0100290	321		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	54573	54893	-	WP_007284568.1	WP_007284568.1		hypothetical protein			A39U_RS0100290	321	106	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	55336	55650	-							A39U_RS19795	315		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	55336	55650	-	WP_180952909.1	WP_180952909.1		hypothetical protein			A39U_RS19795	315	104	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	55795	56694	+							A39U_RS0100300	900		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	55795	56694	+	WP_007284570.1	WP_007284570.1		hypothetical protein			A39U_RS0100300	900	299	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	56682	57341	+							A39U_RS0100305	660		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	56682	57341	+	WP_007284571.1	WP_007284571.1		hypothetical protein			A39U_RS0100305	660	219	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	57386	57613	+							A39U_RS0100310	228		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	57386	57613	+	WP_007284572.1	WP_007284572.1		hypothetical protein			A39U_RS0100310	228	75	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	57687	58897	-							A39U_RS0100315	1211		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	57687	58897	-	WP_132012128.1	WP_132012128.1		IS3 family transposase			A39U_RS0100315	1212	403	ribosomal_slippage
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	58912	59940	-							A39U_RS0100325	1029		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	58912	59940	-	WP_018307584.1	WP_018307584.1		Fic family protein			A39U_RS0100325	1029	342	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	59953	60162	-							A39U_RS0100330	210		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	59953	60162	-	WP_007284575.1	WP_007284575.1		antitoxin VbhA family protein			A39U_RS0100330	210	69	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	60370	60789	-							A39U_RS0100335	420		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	60370	60789	-	WP_007284576.1	WP_007284576.1		single-stranded DNA-binding protein			A39U_RS0100335	420	139	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	61434	62633	-							A39U_RS0100345	1200		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	61434	62633	-	WP_164466545.1	WP_164466545.1		IS701 family transposase			A39U_RS0100345	1200	399	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	63020	63205	-							A39U_RS0100350	186		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	63020	63205	-	WP_010665810.1	WP_010665810.1		hypothetical protein			A39U_RS0100350	186	61	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	63376	63771	-							A39U_RS0100355	396		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	63376	63771	-	WP_007284694.1	WP_007284694.1		hypothetical protein			A39U_RS0100355	396	131	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	63818	64234	-							A39U_RS0100360	417		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	63818	64234	-	WP_007284693.1	WP_007284693.1		hypothetical protein			A39U_RS0100360	417	138	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	64323	64556	-							A39U_RS0100365	234		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	64323	64556	-	WP_010665809.1	WP_010665809.1		hypothetical protein			A39U_RS0100365	234	77	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	64628	64816	-							A39U_RS0100370	189		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	64628	64816	-	WP_010665808.1	WP_010665808.1		hypothetical protein			A39U_RS0100370	189	62	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	64888	65415	-							A39U_RS0100375	528		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	64888	65415	-	WP_007284690.1	WP_007284690.1		hypothetical protein			A39U_RS0100375	528	175	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	65471	65866	-							A39U_RS0100380	396		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	65471	65866	-	WP_007284689.1	WP_007284689.1		hypothetical protein			A39U_RS0100380	396	131	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	66018	66560	-							A39U_RS0100385	543		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	66018	66560	-	WP_007284688.1	WP_007284688.1		hypothetical protein			A39U_RS0100385	543	180	
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	66822	67300	-							A39U_RS0100395	479		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	66822	67300	-				transposase			A39U_RS0100395	479		partial;pseudo
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	67364	68005	+							A39U_RS17765	642		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	67364	68005	+				cation:proton antiporter			A39U_RS17765	642		partial;pseudo
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	67994	69301	-							A39U_RS0100405	1308		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	67994	69301	-	WP_010668233.1	WP_010668233.1		chloride channel protein			A39U_RS0100405	1308	435	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	69707	70180	+							A39U_RS19800	474		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	69707	70180	+	WP_026199891.1	WP_026199891.1		IS5 family transposase			A39U_RS19800	474	157	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	70180	70488	+							A39U_RS19805	309		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	70180	70488	+	WP_018307589.1	WP_018307589.1		IS5/IS1182 family transposase			A39U_RS19805	309	102	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	70637	71836	-							A39U_RS0100420	1200		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	70637	71836	-	WP_164466545.1	WP_164466545.1		IS701 family transposase			A39U_RS0100420	1200	399	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	72039	73487	-							A39U_RS0100425	1449		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	72039	73487	-	WP_010667503.1	WP_010667503.1		DHA2 family efflux MFS transporter permease subunit			A39U_RS0100425	1449	482	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	73536	74102	-							A39U_RS0100430	567		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	73536	74102	-	WP_010667504.1	WP_010667504.1		hydrolase			A39U_RS0100430	567	188	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	74212	74841	+							A39U_RS0100435	630		
